day,date,day_of_week,player_slot,rank,player,team,final_score,bpm
21,2025-12-11,Thursday,4,74,Dru Smith,MIA,10.931288960921142,3.1
21,2025-12-11,Thursday,5,58,Brandon Ingram,TOR,12.50288776681288,0.0
22,2025-12-12,Friday,1,48,Derrick Jones Jr.,LAC,13.612563643423584,0.4
22,2025-12-12,Friday,2,73,Austin Reaves,LAL,11.059309816182452,4.4
22,2025-12-12,Friday,3,51,Jalen Johnson,ATL,12.98263193114096,5.8
22,2025-12-12,Friday,4,59,LaMelo Ball,CHO,12.267352076356628,0.9
22,2025-12-12,Friday,5,45,Reed Sheppard,HOU,13.655531913730448,6.2
23,2025-12-13,Saturday,1,62,Craig Porter Jr.,CLE,12.187539162295428,3.9
23,2025-12-13,Saturday,2,2,Shai Gilgeous-Alexander,OKC,20.2990001377179,13.6
23,2025-12-13,Saturday,3,71,Marvin Bagley III,WAS,11.679061601053355,0.5
23,2025-12-13,Saturday,4,52,Nickeil Alexander-Walker,ATL,12.843748178506832,0.0
23,2025-12-13,Saturday,5,1,Victor Wembanyama,SAS,20.855302084036133,6.4
24,2025-12-14,Sunday,1,12,Branden Carlson,OKC,17.985146088630653,0.0
24,2025-12-14,Sunday,2,34,Karl-Anthony Towns,NYK,14.766728314238636,2.4
24,2025-12-14,Sunday,3,3,Paul Reed,DET,19.949528239888934,6.0
24,2025-12-14,Sunday,4,2,Shai Gilgeous-Alexander,OKC,20.2990001377179,13.6
24,2025-12-14,Sunday,5,26,Neemias Queta,BOS,15.793403919551633,1.5
25,2025-12-15,Monday,1,22,Evan Mobley,CLE,16.28042764591673,1.9
25,2025-12-15,Monday,2,7,Scottie Barnes,TOR,18.83137383003519,4.6
25,2025-12-15,Monday,3,30,Jalen Suggs,ORL,15.293581373786742,3.8
25,2025-12-15,Monday,4,1,Victor Wembanyama,SAS,20.855302084036133,6.4
25,2025-12-15,Monday,5,14,Chet Holmgren,OKC,17.59182005848814,2.8
26,2025-12-16,Tuesday,1,32,Naz Reid,MIN,14.895915257148742,0.4
26,2025-12-16,Tuesday,2,3,Paul Reed,DET,19.949528239888934,6.0
26,2025-12-16,Tuesday,3,67,Onyeka Okongwu,ATL,11.98586603848172,0.6
26,2025-12-16,Tuesday,4,4,Giannis Antetokounmpo,MIL,19.8826453771736,11.3
26,2025-12-16,Tuesday,5,39,Ausar Thompson,DET,14.12010847642466,1.4
27,2025-12-17,Wednesday,1,26,Neemias Queta,BOS,15.793403919551633,1.5
27,2025-12-17,Wednesday,2,20,Kel'el Ware,MIA,16.586578064671002,2.4
27,2025-12-17,Wednesday,3,31,Donovan Clingan,POR,15.248145541471892,1.4
27,2025-12-17,Wednesday,4,25,Daniel Gafford,DAL,15.982554148476463,0.8
27,2025-12-17,Wednesday,5,23,Cade Cunningham,DET,16.12545893379315,3.9
28,2025-12-18,Thursday,1,6,Luka Dončić,LAL,18.88361703282677,9.4
28,2025-12-18,Thursday,2,13,Anthony Edwards,MIN,17.745369218646264,5.7
28,2025-12-18,Thursday,3,23,Cade Cunningham,DET,16.12545893379315,3.9
28,2025-12-18,Thursday,4,15,Stephen Curry,GSW,17.266663146952833,6.5
28,2025-12-18,Thursday,5,25,Daniel Gafford,DAL,15.982554148476463,0.8
29,2025-12-19,Friday,1,19,Myles Turner,MIL,16.6961827181324,-0.1
29,2025-12-19,Friday,2,12,Branden Carlson,OKC,17.985146088630653,0.0
29,2025-12-19,Friday,3,22,Evan Mobley,CLE,16.28042764591673,1.9
29,2025-12-19,Friday,4,29,Jalen Duren,DET,15.46597467248986,4.1
29,2025-12-19,Friday,5,7,Scottie Barnes,TOR,18.83137383003519,4.6
30,2025-12-20,Saturday,1,48,Derrick Jones Jr.,LAC,13.612563643423584,0.4
30,2025-12-20,Saturday,2,43,Ajay Mitchell,OKC,13.940403774925969,1.6
30,2025-12-20,Saturday,3,8,Isaiah Stewart,DET,18.72624616740555,1.1
30,2025-12-20,Saturday,4,9,Robert Williams,POR,18.64237517845424,3.8
30,2025-12-20,Saturday,5,42,Mark Williams,PHO,13.985073135855735,1.6
31,2025-12-21,Sunday,1,9,Robert Williams,POR,18.64237517845424,3.8
31,2025-12-21,Sunday,2,36,James Harden,LAC,14.59146918963121,6.7
31,2025-12-21,Sunday,3,33,Alperen Şengün,HOU,14.876654699302646,5.8
31,2025-12-21,Sunday,4,19,Myles Turner,MIL,16.6961827181324,-0.1
31,2025-12-21,Sunday,5,13,Anthony Edwards,MIN,17.745369218646264,5.7
32,2025-12-22,Monday,1,11,Alex Sarr,WAS,18.46827693830453,1.5
32,2025-12-22,Monday,2,10,Kristaps Porziņģis,ATL,18.59053524617888,5.0
32,2025-12-22,Monday,3,21,Ryan Kalkbrenner,CHO,16.46840704676936,0.5
32,2025-12-22,Monday,4,32,Naz Reid,MIN,14.895915257148742,0.4
32,2025-12-22,Monday,5,20,Kel'el Ware,MIA,16.586578064671002,2.4
33,2025-12-23,Tuesday,1,34,Karl-Anthony Towns,NYK,14.766728314238636,2.4
33,2025-12-23,Tuesday,2,21,Ryan Kalkbrenner,CHO,16.46840704676936,0.5
33,2025-12-23,Tuesday,3,18,Goga Bitadze,ORL,16.758229551842177,5.2
33,2025-12-23,Tuesday,4,48,Derrick Jones Jr.,LAC,13.612563643423584,0.4
33,2025-12-23,Tuesday,5,52,Nickeil Alexander-Walker,ATL,12.843748178506832,0.0
34,2025-12-24,Wednesday,1,8,Isaiah Stewart,DET,18.72624616740555,1.1
34,2025-12-24,Wednesday,2,5,Nikola Jokić,DEN,19.41913687726665,18.2
34,2025-12-24,Wednesday,3,10,Kristaps Porziņģis,ATL,18.59053524617888,5.0
34,2025-12-24,Wednesday,4,47,Alex Caruso,OKC,13.626844662842023,3.3
34,2025-12-24,Wednesday,5,28,Donovan Mitchell,CLE,15.594985171410332,7.1
35,2025-12-25,Thursday,1,36,James Harden,LAC,14.59146918963121,6.7
35,2025-12-25,Thursday,2,14,Chet Holmgren,OKC,17.59182005848814,2.8
35,2025-12-25,Thursday,3,50,Santi Aldama,MEM,13.27593447076956,2.3
35,2025-12-25,Thursday,4,16,Derrick White,BOS,17.01403249496697,1.6
35,2025-12-25,Thursday,5,4,Giannis Antetokounmpo,MIL,19.8826453771736,11.3
36,2025-12-26,Friday,1,40,Nae'Qwan Tomlin,CLE,14.10127927113763,-0.2
36,2025-12-26,Friday,2,46,Paolo Banchero,ORL,13.654644489304928,2.5
36,2025-12-26,Friday,3,27,Mikal Bridges,NYK,15.614469909348534,5.5
36,2025-12-26,Friday,4,39,Ausar Thompson,DET,14.12010847642466,1.4
36,2025-12-26,Friday,5,18,Goga Bitadze,ORL,16.758229551842177,5.2
37,2025-12-27,Saturday,1,30,Jalen Suggs,ORL,15.293581373786742,3.8
37,2025-12-27,Saturday,2,27,Mikal Bridges,NYK,15.614469909348534,5.5
37,2025-12-27,Saturday,3,15,Stephen Curry,GSW,17.266663146952833,6.5
37,2025-12-27,Saturday,4,60,Stephon Castle,SAS,12.231408124087464,0.8
37,2025-12-27,Saturday,5,29,Jalen Duren,DET,15.46597467248986,4.1
38,2025-12-28,Sunday,1,34,Karl-Anthony Towns,NYK,14.766728314238636,2.4
38,2025-12-28,Sunday,2,52,Nickeil Alexander-Walker,ATL,12.843748178506832,0.0
38,2025-12-28,Sunday,3,54,Jaden McDaniels,MIN,12.756593951797193,0.1
38,2025-12-28,Sunday,4,43,Ajay Mitchell,OKC,13.940403774925969,1.6
38,2025-12-28,Sunday,5,28,Donovan Mitchell,CLE,15.594985171410332,7.1
39,2025-12-29,Monday,1,38,Nic Claxton,BRK,14.260940250658692,2.5
39,2025-12-29,Monday,2,16,Derrick White,BOS,17.01403249496697,1.6
39,2025-12-29,Monday,3,60,Stephon Castle,SAS,12.231408124087464,0.8
39,2025-12-29,Monday,4,37,Clint Capela,HOU,14.51685660214926,1.7
39,2025-12-29,Monday,5,44,OG Anunoby,NYK,13.694725707080856,2.2
40,2025-12-30,Tuesday,1,41,Jarrett Allen,CLE,14.005821221229615,1.9
40,2025-12-30,Tuesday,2,65,Deni Avdija,POR,12.024561421808032,3.3
40,2025-12-30,Tuesday,3,51,Jalen Johnson,ATL,12.98263193114096,5.8
40,2025-12-30,Tuesday,4,50,Santi Aldama,MEM,13.27593447076956,2.3
40,2025-12-30,Tuesday,5,49,Dillon Brooks,PHO,13.419430251690171,0.0
41,2025-12-31,Wednesday,1,31,Donovan Clingan,POR,15.248145541471892,1.4
41,2025-12-31,Wednesday,2,37,Clint Capela,HOU,14.51685660214926,1.7
41,2025-12-31,Wednesday,3,17,Tyrese Maxey,PHI,16.96123774679348,7.3
41,2025-12-31,Wednesday,4,41,Jarrett Allen,CLE,14.005821221229615,1.9
41,2025-12-31,Wednesday,5,11,Alex Sarr,WAS,18.46827693830453,1.5
42,2026-01-01,Thursday,1,17,Tyrese Maxey,PHI,16.96123774679348,7.3
42,2026-01-01,Thursday,2,47,Alex Caruso,OKC,13.626844662842023,3.3
42,2026-01-01,Thursday,3,55,Bam Adebayo,MIA,12.594119837773642,2.5
42,2026-01-01,Thursday,4,53,Isaiah Hartenstein,OKC,12.801726036159463,4.0
42,2026-01-01,Thursday,5,40,Nae'Qwan Tomlin,CLE,14.10127927113763,-0.2
43,2026-01-02,Friday,1,5,Nikola Jokić,DEN,19.41913687726665,18.2
